Min_tot,Poblacion,area_m2,Densidad_ha
26,875,594964.4,14.7
23.08,945,128374.9,73.8
13.47,679,202639.1,33.4
10.93,950,459558.7,20.7
31.97,772,196188.1,39.4
28.43,759,231901.3,32.7
22.27,1179,301808,39
17.23,1198,160746.7,74.4
32.72,1469,272411,54
36.5,1283,321117.4,40
31.42,811,1357218.3,6
36.8,1238,562652.2,22
14.45,1593,216866,147.5
7.22,1959,271232,144.1
18.75,1381,241367.7,114.6
19.75,962,136485.4,70.7
8.43,1081,153011.3,70.7
21.88,1098,209418.3,52.5
14.95,564,227213.7,24.8
23.78,1354,287992.7,47
10.37,829,302704.6,27.4
12.33,1222,146972.6,83.1
6.55,1176,158067.6,74.4
35.85,974,2851970.8,3.4
10.28,1705,280812.9,122
11.7,1213,273560.4,44.3
16.7,1417,210700.8,67.2
23.07,751,90631.9,82.5
37.38,1520,268859.4,56.5
24.3,3259,259269.8,375.8
36.68,2132,261271.1,81.7
27.28,1450,1143151.3,12.7
2.95,982,165753.6,59.2
22.18,1072,148931.4,71.9
9.23,1554,240475.8,64.8
25.9,1497,150554.3,99.1
33.43,1944,232016.2,83.8
30.6,1567,236854.7,66.1
35.9,1302,313157.7,41.6
32.03,1602,391968.7,40.9
31.43,1736,2304803.8,7.5
15.17,1424,114485.4,124.9
22.7,2364,224092.1,213.5
20.83,2893,299758.4,211.8
21.28,1429,194734.3,73.3
22.92,2069,169462.4,261.8
18.17,2953,256919.6,229.9
25.45,1211,136989.1,88.4
36.12,1499,636689,23.5
39.03,1230,211047.7,58.3
50.05,624,144248.6,43.3
36.08,1088,158768.5,68.4
29.72,649,465206,14
41.87,843,1311022.8,6.4
24.67,1289,201698.8,63.8
30.82,2532,235189.9,214.2
36.27,1143,125621.7,90.7
38.45,841,184106.3,45.7
35.9,1524,338285.1,45.1
22.82,895,359953.5,24.9
10.3,1326,924453.2,14.4
42.8,1084,1142470.3,9.5
23.6,387,60489.7,64.5
29,984,154518.3,63.5
43.48,893,562030.2,15.9
26.48,884,154341.8,57.4
25.52,1659,697948.6,23.8
46.33,1439,200125.2,72
49.95,1896,244928.1,77.4
47.42,1507,262846.3,57.3
17.83,1219,382163.6,31.9
36.88,876,529018.5,16.6
24.03,540,5398950.3,1
13.07,1559,155122.2,100.6
2.7,1271,160067.9,79.4
23.18,1554,170467.2,91.4
11.32,1315,183495,71.9
5.87,2047,212189.5,96.6
11.7,980,213123.7,46
8.65,1402,215527.9,64.9
17.92,1639,218937.3,74.8
20.53,982,435264.6,22.6
9.55,1057,4189789,2.5
39.42,1348,1358210.8,9.9
35.67,1212,2397390.3,5.1
9.88,769,297802.7,25.8
21.13,658,770321.1,8.5
30.18,557,1472360,3.8
11.53,2117,278233.9,232.4
5.22,1945,259509.9,153.4
10.63,2133,299995,142.3
6.33,626,181081.3,34.6
3.27,732,181648.7,40.2
15.65,2110,278256.8,142.6
11.45,1625,192094.5,84.6
12.65,1091,211498.9,51.7
5.83,1060,102449.7,103.9
9.33,1535,155889.5,98.4
19.22,1738,176771.1,195.2
15.12,947,100269.2,94.7
27.85,860,141764.1,60.6
30.08,925,235211.2,39.4
34.4,1082,360021.5,30.1
21.67,916,407804.2,22.5
19.78,453,588501.6,7.7
41.53,1145,149899.8,76.3
44.45,1054,725669.3,14.5
42.23,1646,4883009.9,3.4
6.75,2197,244353.9,180.2
8.48,995,154308.1,64.6
8.35,1189,147294,80.9
10.03,1536,216618.2,70.8
9.83,1661,496840.5,33.4
11.6,957,91997,104
10.72,1424,233308.3,61.1
10.52,2362,269233.9,175
12,1354,149763,90.3
2.5,445,244220.1,18.2
